id,title,titleeng,titlerus,whours1,whours2,is_mandatory,urlru,urlgeo,urleng
171,გომის მთა,Gomi Mountain,Гора Гоми,"41.824016, 42.158483",60,1,Gora_Gomi,gomis_mta,Gomi_Mountain
172,ნაბეღლავი ,Nabeghlavi,Набеглави,"41.947745, 42.351887",60,1,Nabeglavi,nabeghlavi,Nabeghlavi
173,ნასაკირალი,Nasakirali,Насакирали,"41.959801, 42.064939",60,1,Nasakirali,nasakirali,Nasakirali
174,წყალწმინდა ,Tskaltsminda,Цкалцминда,"42.011071, 41.779589",60,1,Ckalcminda,tsqaltsminda,Tskaltsminda
176,ზვარე ,Zvare,Зваре,"41.972029, 43.398335",60,1,Zvare,zvare,Zvare
177,ნუნისი,Nunisi,Нуниси,"41.952633, 43.409206",60,1,Nunisi,nunisi,Nunisi
178,ახტალა,Аkhtala,Ахтала,"41.744703, 45.794240",60,1,Ahtala,akhtala,Аkhtala
182,მენჯი ,Mendji,Менджи,"42.278546, 42.044464",60,1,Mendzhi,menji,Mendji
183,ცემი,Tsemi,Цеми,"41.800934, 43.466313",60,1,Cemi,tsemi,Tsemi
184,წაღვერი,Tsagveri,Цагвери,"41.801547, 43.480110",60,1,Cagveri,tsaghveri,Tsagveri
185,გურგენიანის ჩანჩქერი,Gurgeniani Waterfall,Гургениани Водопад ,"41.841424, 46.209783",60,1,Gurgeniani_Vodopad,gurgenianis_chanchkeri,Gurgeniani_Waterfall
186,ნიკორწმინდა,Nikortsminda,Никорцминда,"42.460777, 43.088791",60,1,Nikorcminda,nikortsminda,Nikortsminda
189,კობი,Kobi,Коби,"42.562252, 44.493540",30,1,Kobi,kobi,Kobi
190,ბლექ სი არენა,Black Sea Arena,Блэк Си Арена,"41.938563, 41.771552",0,1,Bljek_Si_Arena,blek_si_arena,Black_Sea_Arena
191,ლარსი (საბაჟო გამშვები პუნქტი),Lars Customs Post,Ларс  ТПП,"42.746847, 44.623362",30,1,Lars_TPP,larsi_(sabazho_gamshvebi_punkti),Lars_Customs_Post
195,ახალციხე.,akhaltsikhe.,Ахалцихе.,"41.641653, 42.982271",60,1,Ahalcihe,akhaltsikhe,akhaltsikhe
197,ვარძია.,vardzia.,Вардзиа.,"41.378470, 43.283737",100,1,Vardzia,vardzia,vardzia
